character_or_faction,color_id,default_type,rarity_hint,mechanics_hints,notes
Forest Training Camp,G,Land,Common,add G;buff beast,Wild Pussycats turf
I-Island,U,Legendary Land,Rare,artifact affinity;add U,Movie location
Class 1-B,W U B R G,Faction,Uncommon,generic student synergy,The rivals
Neito Monoma,U B,Legendary Creature - Human Student,Rare,copy activated abilities,Copy quirk
Itsuka Kendo,W G,Legendary Creature - Human Student,Uncommon,reach;pump hand size,Big Fist
Tetsutetsu Tetsutetsu,R,Legendary Creature - Human Student,Uncommon,indestructible;artifact creature,Steel
Ibara Shiozaki,G W,Legendary Creature - Human Student,Rare,reach;defender;vine tokens,Vines
Pony Tsunotori,W,Legendary Creature - Human Student,Common,horsemanship;charge,Horn cannon
Juzo Honenuki,U B,Legendary Creature - Human Student,Uncommon,soften land;swampwalk,Softening
Kinoko Komori,G B,Legendary Creature - Human Student,Common,fungus tokens;spores,Mushroom
Setsuna Tokage,G U,Legendary Creature - Human Student,Rare,regenerate;flying parts,Lizard splitter
Manga Fukidashi,U,Legendary Creature - Human Student,Uncommon,create wall;manifest,Comic quirk
Yo Shindo,R G,Legendary Creature - Human Student,Uncommon,earthquake effect;stun,Vibrate
Inasa Yoarashi,R W,Legendary Creature - Human Student,Rare,flying;gust;control winds,Gale Force
Camie Utsushimi,U,Legendary Creature - Human Student,Uncommon,illusion tokens;goad,Glamour
Seiji Shishikura,B W,Legendary Creature - Human Student,Uncommon,exile creature;meatball token,Fleshcrafting
Mirio Togata,W U,Legendary Creature - Human Hero,Mythic,phase out;indestructible;unblockable,Lemillion
Permeation,W U,Instant,Rare,target phases out;protection from everything,Mirio defense
Phantom Menace,W,Sorcery,Rare,tap all blockers;unblockable attack,Mirio super move
Tamaki Amajiki,G U,Legendary Creature - Human Hero,Rare,copy creature stats;food synergy,Suneater
Chimera Kraken,G U,Instant,Uncommon,tap multiple targets;reach,Tentacle attack
Nejire Hado,W U,Legendary Creature - Human Hero,Rare,flying;trample;energy counters,Nejire-chan
Gring Wave,W U,Sorcery,Rare,damage to all opponents;slow,Shockwave
Sir Nighteye,W U,Legendary Creature - Human Advisor,Rare,scry 3;fateseal;predict,Foresight
Bubble Girl,U,Legendary Creature - Human Hero,Common,tap target;scent,Bubble quirk
Fat Gum,W R,Legendary Creature - Human Hero,Rare,absorb damage;release damage,Fat Absorption
Spear Shield,R W,Instant,Rare,prevent damage;deal damage equal to prevented,Fat Gum counter
Ryukyu,W G,Legendary Creature - Human Hero,Rare,flying;transform into Dragon,Dragon quirk
Orca,U B,Legendary Creature - Human Hero,Rare,sonar;stun creatures,Gang Orca
Manual,W U,Legendary Creature - Human Hero,Common,extinguish fire;heal,Normal Hero
Thirteen,B W,Legendary Creature - Human Hero,Rare,exile target;black hole effect,Black Hole
Black Hole,B W,Sorcery,Mythic,exile permanent;controller sacrifices,Ultimate void
Snipe,R W,Legendary Creature - Human Hero,Uncommon,reach;ping damage,Homing
Ectoplasm,U B,Legendary Creature - Human Hero,Uncommon,create token copies;blockers,Clones
Cementoss,W G,Legendary Creature - Human Hero,Uncommon,create walls;fortify land,Cement
Vlad King,R,Legendary Creature - Human Hero,Uncommon,blood tokens;buff 1-B,Blood control
Hound Dog,R G,Legendary Creature - Human Hero,Common,menace;tracking,Dog quirk
Kota Izumi,U,Legendary Creature - Human Child,Common,splash water;protection from fire,Water Gun
Eri,W,Legendary Creature - Human Child,Mythic,return from graveyard;remove counters,Rewind
Rewind,W U,Instant,Mythic,exile and return transformed;reset life,Eri power
Melissa Shield,U,Legendary Creature - Human Artificer,Uncommon,repair artifact;draw,Scientist
David Shield,U,Legendary Creature - Human Artificer,Rare,buff hero;create equipment,Inventor
Wolfram,R B,Legendary Creature - Human Villain,Rare,control metal;magnetism,Movie villain
Nine,W U B R G,Legendary Creature - Human Villain,Mythic,weather control;shield;flying,Movie villain 2
Flect Turn,U W,Legendary Creature - Human Villain,Rare,reflect damage;hexproof,Reflect
Lady Nagant,B G,Legendary Creature - Human Villain,Rare,reach;snipe;range,Rifle
Curator,U,Legendary Creature - Human Villain,Uncommon,control artifact;collector,Villain
Ending,B W,Legendary Creature - Human Villain,Uncommon,suicide attack;road paint,Endeavor fan
Hood,B,Creature - Zombie Mutant,Rare,flying;regenerate;evolve,High-End
Johnny,B,Creature - Zombie Mutant,Common,teleport;small,Nomu
Magne,R,Legendary Creature - Human Villain,Uncommon,attract artifacts;magnetism,Big Sis
Giran,B,Legendary Creature - Human Advisor,Common,search villain;broker,Info broker
Doctor Garaki,B U,Legendary Creature - Human Scientist,Rare,create Nomu;sacrifice,Mad doctor
Plus Ultra!,W R G,Enchantment,Rare,creatures get +1/+1;haste,Motto
Go Beyond,W U,Instant,Uncommon,target gets +2/+2 and flying,Motto
Symbol of Peace Falls,B,Enchantment - Saga,Mythic,chapter 1: destroy legend; chapter 2: fear; chapter 3: rise villains,Kamino event
Sports Festival,R W,Enchantment - Saga,Rare,tournament;fight mechanics,Arc event
Forest Camp Attack,B G,Enchantment - Saga,Rare,kidnap;burn forest,Arc event
Shie Hassaikai Raid,W B,Enchantment - Saga,Rare,dungeon mechanic;rescue,Arc event
Paranormal Liberation War,B R,Enchantment - Saga,Mythic,massive token war;destruction,Arc event
Hero License Exam,U W,Enchantment,Uncommon,tap creatures to qualify;draw,Exam
Internship,W,Sorcery,Common,search library for Hero;put into hand,Training
Work Studies,W U,Enchantment,Uncommon,pair mechanics;learning,Patrol
Vigilante Deku,B G,Legendary Creature - Human Hero,Mythic,shroud;trample;loner,Dark Deku arc
Class 1-A,W U R G,Faction,Rare,legendary synergy;assembly,The class
Big Three,W U G,Faction,Mythic,search top 3 heroes;synergy,Mirio/Nejire/Tamaki
Wild Wild Pussycats,G W,Faction,Rare,forest synergy;cat tokens,Rescue team
Meta Liberation Army,B R,Faction,Rare,swarm;sacrifice for power,Re-Destro army
Shie Hassaikai,W B,Faction,Rare,sacrifice minions;control,Yakuza
Quirk Singularity,U R,Enchantment,Mythic,chaos warp effects;random damage,Doomsday theory
Quirk Awakening,W R G,Enchantment - Aura,Rare,enchanted creature gets +5/+5 and abilities,Evolution
Trigger Drug,B R,Artifact - Equipment,Uncommon,equipped gets +3/-1;haste,Illegal drug
Hero Costume,W,Artifact - Equipment,Common,equipped gets +1/+1;vigilance,Suit
Villain Costume,B,Artifact - Equipment,Common,equipped gets +1/+0;menace,Suit
All Might Card,W,Artifact,Common,sacrifice to give hope,Collectible
Deku's Notebook,U,Artifact,Uncommon,tap to study target;scry,Analysis
UA Barrier,W U,Artifact - Fortification,Rare,prevent damage;lockdown,Defense system
